"study","tot","updated_date","submission_center","submission_lab","platform","instrument_model","platform_parameters","study_title","study_url_link","study_alias","submission_date","study_abstract","study_description","year"
"SRP003393",0,"2014-05-28","UIUC","EBI","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Changes in N-transforming archaea and bacteria in soil during the establishment of bioenergy crops",NA,"Energy farm 16S rRNA","2010-09-21","Widespread adaptation of biomass production for bioenergy may influence important biogeochemical functions in the landscape, which are mainly carried out by soil microbes. Here we explore the impact of four bioenergy feedstock crops (maize, switchgrass, Miscanthus X giganteus, and mixed tallgrass prairie) on nitrogen cycling microorganisms in the soil. By analyzing key functional genes (nifH, bacterial amoA, archaeal amoA and nosZ) and 16S rRNA genes, we monitored changes in the quantity (real-time PCR) and diversity (barcoded pyrosequencing) of diazotrophic bacteria, ammonia-oxidizing bacteria (AOB) and archaea (AOA), denitrifying bacteria and the overall bacterial/archaeal community over two years after crop establishment. Over time, the quantities of these N-cycling genes were relatively stable in all the crops, except maize (the only fertilized crop), in which the population size of AOB doubled in less than 3 months, and denitrifier abundance increased in comparison to the other crops in the second season. Deep sequencing revealed high diversity of nifH, archaeal amoA, bacterial amoA, nosZ and 16S rRNA genes, with 10899, 3187, 3945, 11242 and 19824 unique nucleotide sequences observed, respectively. Rarefaction analysis revealed the diversity of archaeal amoA in maize significantly decreased in the second year. Among the observed bacterial genera, covering nine phyla, 31.8% were significantly changed in at least one crop. Unifrac PCoA  analysis showed that the N-transforming microbial community structures in the soil under these crops changed following different trajectories. Thus far, our two year study has shown that specific N-transforming microbial communities develop in the soil in response to planting different bioenergy crops, and each functional group responded in a different way. Our results also suggest that application of fertilizer increases the abundance of AOB and denitrifiers, reduces the diversity of AOA, and significant changes in the structure of these N-transforming populations.",NA,"2014"
"SRP007103",0,"2014-06-02","ISUCPG",NA,"LS454","454 GS 20","INSTRUMENT_MODEL: 454 GS 20","Study of ZEA MAYS",NA,"ZEA MAYS","2005-10-06","study of SAM LCM-454-ESTS",NA,"2014"
"SRP023244",0,"2014-04-29","China University of Geosciences","Geomicrobiology Lab","LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Agricultural soils from the East China",NA,"PRJNA205368",NA,"To understand AOA and AOB distribution in different kind of soils in the East China.",NA,"2014"
"SRP029472",0,"2014-09-05","Institute of Agricultural Resources and Regional P","Ministry of Agriculture Key Laboratory of Plant Nu","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Soil Metagenome",NA,"PRJNA217859",NA,"Mechanisms of microbes-mediated carbon and nitrogen cycles in the rhizosphere soil under long-term fertilization practices",NA,"2014"
"SRP031455",0,"2014-10-17","HMGU",NA,"LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Food web relevant soil bacterial utilizers of different detritus substrates",NA,"PRJNA222789",NA,"Glucose, Cellulose, Maize leaf and root litter are mainly degraded by temporal dynamic specific bacterial populations.",NA,"2014"
"SRP031774",0,"2014-10-22","HMGU",NA,"LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Eukaryotic organisms involved in carbon fluxes in soil food webs depending on carbon from glucose, cellulose, maize leaf and root litter. Targeted Locus (Loci)",NA,"PRJNA223216",NA,"Eukaryotic organisms involved in carbon fluxes in soil food webs depending on carbon from glucose, cellulose, maize leaf and root litter.",NA,"2014"
"SRP033655",0,"2014-12-10","The Ohio State University","Entomology","ION_TORRENT","Ion Torrent PGM","INSTRUMENT_MODEL: Ion Torrent PGM","Graminella nigrifronsTranscriptome or Gene expression",NA,"PRJNA222853",NA,"The black-faced leafhopper (Graminella nigrifrons) has been identified as the only known vector for Maize fine streak virus (MFSV), an emerging plant pathogen within the Rhabdoviridae. Within G. nigrifrons populations, individuals can be experimentally separated into three vector types based on their capacity for viral transmission: transmitters, acquirers and non-acquirers. In this study, we compared the expression profiles and genetic variation of 10 transcripts putatively functioning in insect immune response among the 3 vector types of G. nigrifrons by real time quantitative PCR (RT-qPCR). Genetic variation was also detected among vector types, including a non-synonymous SNP in the MFSV-N gene, identified only in transmitters.",NA,"2014"
"SRP035435",0,"2014-01-17","INGEBI-CONICET","Microbial Ecology","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Bacterial diversity in agricultural soils",NA,"PRJNA234366",NA,"Barcoded amplicon sequencing targeting V4 regions of 16S gene from uncultured soil bacteria.",NA,"2014"
"SRP035887",0,"2014-01-31","Helmholtz Zentrum MÃƒÂ¼nchen","Environmental Genomics","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Leaf litter Genome sequencing",NA,"PRJNA236069",NA,"Monitoring bacterial community changes during leaf litter degradation of Zea mays in arable soil",NA,"2014"
"SRP037580",0,"2014-03-29","Cinvestav","Soil ecology","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Agriculture soils Metagenome","International Maize and Wheat Improvement Center (CIMMYT): http://www.cimmyt.org/","PRJNA233623",NA,"A central goal in ecology is to understand the factors that control microbial biodiversity and patterns in spatial distribution. In this project, the effect of limited tillage versus traditional tillage, residue retention versus removal and crop rotation (maize-wheat) versus monoculture (maize) on the bacterial community structure is being investigated.",NA,"2014"
"SRP043580",0,"2014-07-01","Cinvestav","Soil ecology","LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Soil bacteria (Pico de Aguila) Metagenome",NA,"PRJNA253630",NA,"In this study, the effect of deforestation and cultivation of maize (Zea mays L.) on the physicochemical characteristics and the bacterial community structure in soil were studied at the national park Ã¢â‚¬ËœNevado de TolucaÃ¢â‚¬â„¢ in Mexico. Soil was sampled from three forested areas in the national park with natural vegetation, and from three deforested areas cultivated with maize or grazed by animals and characterized while the bacterial community structure was investigated through 454 pyrosequencing of the 16S rRNA gene",NA,"2014"
"SRP044268",0,"2014-08-01","Cinvestav","Soil ecology","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Soil microbiome CENEB Metagenome",NA,"PRJNA255111",NA,"This project investigated three agricultural practices, i.e. different raised bed planting systems (tilled raised beds vs permanent raised beds), different levels of residue retention (full, partial and no retention of crop residue) and two application rates of inorganic N fertilizer (0 or 300 kg N ha-1), at a 20-year long-term field experiment cultivated with wheat (Triticum spp. L.) and maize (Zea mays L.). This study included also the effect of residue burning",NA,"2014"
"SRP045677",0,"2014-11-01","Centro Regional de Estudios GenÃƒÂ³micos, Facultad de","Microorganism Metagenomics","LS454","454 GS FLX","INSTRUMENT_MODEL: 454 GS FLX","Metatranscriptome of lab-reared Spodoptera frugiperda larvae guts",NA,"PRJNA258466",NA,"The purpose of this study is to perform a comprehensive analysis which integrates Spodoptera frugiperda gene expression data with environmental information and taxa associated with S. frugiperda larvae guts. For this, total RNA extracted from laboratory reared S. frugiperda larvae guts, originally collected from a maize (Zea mays) field in TucumÃƒÂ¡n province (Argentina), was submitted to sequence-independent amplification and high-throughput pyrosequencing. Due to the fact that total RNA was amplified using a modified sequence-independent amplification protocol and, for this, first-strand reverse transcription was initiated with a random octamer linked to a specific primer sequence, an unbiased random collection of transcripts was obtained for each sample.",NA,"2014"
"SRP047229",0,"2014-10-17","Max-Planck-Institute","Biogeochemistry","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Archaea Metagenome",NA,"PRJNA261295",NA,"Goal of the study was to monitor dynamics in the archaeal community in rice field soil during rice plant growth",NA,"2014"
"SRP047272",0,"2014-10-17","Max-Planck-Institute","Biogeochemistry","LS454","454 GS FLX Titanium","INSTRUMENT_MODEL: 454 GS FLX Titanium","Bacteria rice field soil Metagenome",NA,"PRJNA261367",NA,"Goal of the study was to investigate dynamics in the bacterial community in rice field soil during rice plant growth",NA,"2014"
"SRP000666",0,"2013-07-26","CINVESTAV",NA,"LS454","454 GS 20","INSTRUMENT_MODEL: 454 GS 20","Corn Palomero maize transcriptome",NA,"Palomero maize","2009-04-02","Palomero Toluqueno is an ancestral popcorn landrace. It a member of the Central and Northern Highlands Group that is considered to be a contributing germplasm of popcorn elite cultivars. Study of this organism will contribute to understanding the functional diversity of maize and illuminate the evolution/domestication of maize. Both of these efforts are expected to lead to identification of new genes to address contemporary agronomic problems. cDNAs generated from RNA obtained from 3 weeks old whole plants.",NA,"2013"
